Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Muthaiga,house,5,4.0,5.000 ft²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,0.464515,344445281.6378373,2
Karen,villa,5,8.0,648 m²,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,648.0,146604.93827160494,2
Westlands,villa,5,5.0,6.305 ft²,112500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,0.585753415,192060339.92990038,2
Brookside,townhouse,3,4.0,3.500 ft²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,0.3251605,147619406.416216,2
Westlands,townhouse,5,5.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,1328125.0,2
Waiyaki Way,villa,5,7.0,,30000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,468750.0,2
Waiyaki Way,villa,4,6.0,,25000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,390625.0,2
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,1171875.0,2
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,1265625.0,2
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,1328125.0,2
Lavington,townhouse,5,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,2343750.0,2
Lavington,townhouse,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,1718750.0,2
Runda,villa,4,5.0,,52000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,812500.0,2
Lavington,townhouse,5,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=8,64.0,937500.0,2
Lavington,villa,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,1328125.0,2
Mombasa Road,house,3,3.0,,5500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,85937.5,2
Westlands,villa,1,1.0,,4000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=9,64.0,62500.0,2
